question,style,label
How can the structure of adventures and campaigns in a tabletop role-playing game be compared to the structure of a TV series?,original,1
"So, how's building adventures and campaigns in a tabletop RPG kinda like mapping out a TV show season?",informal,0
"Hey, so in D&D, how do you figure out a character's toughness, and does their class type make a difference or what?",informal,0
What elements are considered when fleshing out a character for a role-playing game?,original,1
"Hey, so if you're rolling up a dwarf character who's kinda like the hometown hero in D&D, what sorta quirks and beliefs would they rock?",informal,0
"Hey, when you're playing an RPG and you try to do something, how do you figure out if it totally rocked or if it bombed?",informal,0
How does a basic game of Dungeons & Dragons progress with respect to the roles of the Dungeon Master and the players?,original,1
"Hey, so in D&D, how do you figure out a character's Armor Class when they're not rocking any armor or a shield? Also, what's the deal if someone's wearing armor or lugging around a shield but they aren't really trained to use it?",informal,0
"Hey, so when Bruenor swings his battleaxe around in our RPG, how do we figure out the extra oomph he gets on his hits and the hurt he dishes out?",informal,0
What is the most structured element of a D&D session and what possible actions can players undertake during this part?,original,1
"In a role-playing game, if a player character, Bruenor, uses a battleaxe as his weapon, how is his attack bonus and damage calculated?",original,1
"In role-playing games like Dungeons & Dragons, what are the determinants of a character's proficiency in skills, tools, and saving throws, and are there any restrictions on the addition of the proficiency bonus?",original,1
"Hey, so in a game like D&D, who's usually the mastermind behind cooking up an adventure, and what kinda stuff does it usually have in it?",informal,0
"In the process of character creation in a role-playing game like Dungeons & Dragons, how do a character's abilities and race influence their appearance and personality, and what benefits does a character's background provide?",original,1
